,Position,Track Name,Artist,Streams,URL,Date,Region,city_coord
0,1,Reggaetón Lento (Bailemos),CNCO,19272,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,2017-01-01,ec,"(-1.3397668, -79.3666965)"
1,2,Chantaje,Shakira,19270,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,2017-01-01,ec,"(-1.3397668, -79.3666965)"
2,3,Otra Vez (feat. J Balvin),Zion & Lennox,15761,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,2017-01-01,ec,"(-1.3397668, -79.3666965)"
3,4,Vente Pa' Ca,Ricky Martin,14954,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46,2017-01-01,ec,"(-1.3397668, -79.3666965)"
4,5,Safari,J Balvin,14269,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO,2017-01-01,ec,"(-1.3397668, -79.3666965)"
5,1,One Dance,Drake,89403,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,2017-01-01,fr,"(46.603354, 1.8883335)"
6,2,Starboy,The Weeknd,80882,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2017-01-01,fr,"(46.603354, 1.8883335)"
7,3,24K Magic,Bruno Mars,80838,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,2017-01-01,fr,"(46.603354, 1.8883335)"
8,4,My Way,Calvin Harris,72133,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm,2017-01-01,fr,"(46.603354, 1.8883335)"
9,5,Mauvaise graine,Nekfeu,71082,https://open.spotify.com/track/4kKJ5CjwCtksszPMntho4N,2017-01-01,fr,"(46.603354, 1.8883335)"
10,1,Chantaje,Shakira,253019,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,2017-01-01,ar,"(-34.9964963, -64.9672817)"
11,2,Vente Pa' Ca,Ricky Martin,223988,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46,2017-01-01,ar,"(-34.9964963, -64.9672817)"
12,3,Reggaetón Lento (Bailemos),CNCO,210943,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,2017-01-01,ar,"(-34.9964963, -64.9672817)"
13,4,Safari,J Balvin,173865,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO,2017-01-01,ar,"(-34.9964963, -64.9672817)"
14,5,Shaky Shaky,Daddy Yankee,153956,https://open.spotify.com/track/58IL315gMSTD37DOZPJ2hf,2017-01-01,ar,"(-34.9964963, -64.9672817)"
