Position,Track Name,Artist,Streams,URL,Date,Region,lat,long
5,Don't Wanna Know,Maroon 5,129656,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,1/1/2017,ph,12.44249325,122.1603952
1,Closer,The Chainsmokers,18651,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,1/1/2017,tw,23.9739374,120.9820179
2,Starboy,The Weeknd,14568,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,1/1/2017,tw,23.9739374,120.9820179
3,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,13476,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,1/1/2017,tw,23.9739374,120.9820179
4,Let Me Love You,DJ Snake,13431,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,1/1/2017,tw,23.9739374,120.9820179
5,帥到分手,NICKTHEREAL,13315,https://open.spotify.com/track/2tG6FZtaX5NPWFA64d8DWz,1/1/2017,tw,23.9739374,120.9820179
1,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,28957,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,1/1/2017,nz,-41.5000831,172.8344077
2,Starboy,The Weeknd,28259,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,1/1/2017,nz,-41.5000831,172.8344077
3,Closer,The Chainsmokers,26958,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,1/1/2017,nz,-41.5000831,172.8344077
4,24K Magic,Bruno Mars,24563,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,1/1/2017,nz,-41.5000831,172.8344077
5,Say You Won't Let Go,James Arthur,24005,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,1/1/2017,nz,-41.5000831,172.8344077
1,Starboy,The Weeknd,1950,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,1/1/2017,ee,58.7523778,25.3319078
2,Tuesday,Burak Yeter,1727,https://open.spotify.com/track/7abpmGpF7PGep2rDU68GBR,1/1/2017,ee,58.7523778,25.3319078
3,Closer,The Chainsmokers,1692,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,1/1/2017,ee,58.7523778,25.3319078
4,Alone,Alan Walker,1649,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p,1/1/2017,ee,58.7523778,25.3319078
5,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,1638,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,1/1/2017,ee,58.7523778,25.3319078
1,Gece Gölgenin Rahatına Bak,Çağatay Akman,80607,https://open.spotify.com/track/3P31rcl0ym5paqRdwSiZps,1/1/2017,tr,38.9597594,34.9249653
2,Starboy,The Weeknd,44427,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,1/1/2017,tr,38.9597594,34.9249653
3,Affet,Müslüm Gürses,34889,https://open.spotify.com/track/0ikRchpmFlaqlzLRgu9qWk,1/1/2017,tr,38.9597594,34.9249653
4,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,28400,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,1/1/2017,tr,38.9597594,34.9249653
5,Let Me Love You,DJ Snake,25425,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,1/1/2017,tr,38.9597594,34.9249653
1,Bad and Boujee (feat. Lil Uzi Vert),Migos,1371493,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR,1/1/2017,us,39.7837304,-100.4458825
2,Fake Love,Drake,1180074,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd,1/1/2017,us,39.7837304,-100.4458825
3,Starboy,The Weeknd,1064351,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,1/1/2017,us,39.7837304,-100.4458825
4,Closer,The Chainsmokers,1010492,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,1/1/2017,us,39.7837304,-100.4458825
5,Black Beatles,Rae Sremmurd,874289,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo,1/1/2017,us,39.7837304,-100.4458825
1,Reggaetón Lento (Bailemos),CNCO,5981,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,1/1/2017,sv,13.8000382,-88.9140683
2,Otra Vez (feat. J Balvin),Zion & Lennox,5513,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,1/1/2017,sv,13.8000382,-88.9140683
3,Chantaje,Shakira,5485,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,1/1/2017,sv,13.8000382,-88.9140683
4,Safari,J Balvin,5033,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO,1/1/2017,sv,13.8000382,-88.9140683
5,Vente Pa' Ca,Ricky Martin,4102,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46,1/1/2017,sv,13.8000382,-88.9140683
1,Reggaetón Lento (Bailemos),CNCO,20171,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,1/1/2017,cr,10.2735633,-84.0739102
2,Chantaje,Shakira,18779,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,1/1/2017,cr,10.2735633,-84.0739102
3,Otra Vez (feat. J Balvin),Zion & Lennox,18196,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,1/1/2017,cr,10.2735633,-84.0739102
4,Safari,J Balvin,18035,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO,1/1/2017,cr,10.2735633,-84.0739102
5,La Bicicleta,Carlos Vives,14388,https://open.spotify.com/track/0sXvAOmXgjR2QUqLK1MltU,1/1/2017,cr,10.2735633,-84.0739102
1,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,229398,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,1/1/2017,de,51.0834196,10.4234469
2,Alone,Alan Walker,192026,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p,1/1/2017,de,51.0834196,10.4234469
3,Chöre,Mark Forster,181869,https://open.spotify.com/track/2nYpbaLykC2cjU8Yt5KF1v,1/1/2017,de,51.0834196,10.4234469
4,Starboy,The Weeknd,176328,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,1/1/2017,de,51.0834196,10.4234469
5,Closer,The Chainsmokers,170745,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,1/1/2017,de,51.0834196,10.4234469
1,Chantaje,Shakira,136652,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,1/1/2017,cl,-31.7613365,-71.3187697
2,Otra Vez (feat. J Balvin),Zion & Lennox,108344,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,1/1/2017,cl,-31.7613365,-71.3187697
3,Vente Pa' Ca,Ricky Martin,105203,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46,1/1/2017,cl,-31.7613365,-71.3187697
4,Reggaetón Lento (Bailemos),CNCO,97931,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,1/1/2017,cl,-31.7613365,-71.3187697
5,Safari,J Balvin,82663,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO,1/1/2017,cl,-31.7613365,-71.3187697
1,Closer,The Chainsmokers,6342,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,1/1/2017,jp,36.5748441,139.2394179
2,I Feel It Coming,The Weeknd,5697,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,1/1/2017,jp,36.5748441,139.2394179
3,Let Me Love You,DJ Snake,5149,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,1/1/2017,jp,36.5748441,139.2394179
4,24K Magic,Bruno Mars,4846,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,1/1/2017,jp,36.5748441,139.2394179
5,Don't Wanna Know,Maroon 5,4595,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,1/1/2017,jp,36.5748441,139.2394179
1,Deu Onda,MC G15,612271,https://open.spotify.com/track/0EPxmvsG1BY5td4aTOkWBF,1/1/2017,br,-10.3333333,-53.2
2,Hear Me Now,Alok,269574,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON,1/1/2017,br,-10.3333333,-53.2
3,10% - Ao Vivo,Maiara & Maraisa,228307,https://open.spotify.com/track/2wFnRPjuqwNySFiK0Qfg8L,1/1/2017,br,-10.3333333,-53.2
4,Eu Sei de Cor - Ao Vivo | Acústico,Marília Mendonça,217394,https://open.spotify.com/track/45wqPwIH4A5cr2IyyD4WKf,1/1/2017,br,-10.3333333,-53.2
5,Meu Coração Deu PT - Ao Vivo,Wesley Safadão,214171,https://open.spotify.com/track/6zCqeUUqLb2CapBmVwAHll,1/1/2017,br,-10.3333333,-53.2
1,Otra Vez (feat. J Balvin),Zion & Lennox,6762,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,1/1/2017,hn,15.2572432,-86.0755145
2,Chantaje,Shakira,6467,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,1/1/2017,hn,15.2572432,-86.0755145
3,Safari,J Balvin,5951,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO,1/1/2017,hn,15.2572432,-86.0755145
4,Reggaetón Lento (Bailemos),CNCO,5760,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,1/1/2017,hn,15.2572432,-86.0755145
5,Shaky Shaky,Daddy Yankee,5054,https://open.spotify.com/track/58IL315gMSTD37DOZPJ2hf,1/1/2017,hn,15.2572432,-86.0755145
1,Reggaetón Lento (Bailemos),CNCO,9124,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,1/1/2017,gt,15.6356088,-89.8988087
2,Otra Vez (feat. J Balvin),Zion & Lennox,8886,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,1/1/2017,gt,15.6356088,-89.8988087
3,Chantaje,Shakira,8693,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,1/1/2017,gt,15.6356088,-89.8988087
4,Safari,J Balvin,7482,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO,1/1/2017,gt,15.6356088,-89.8988087
5,Vente Pa' Ca,Ricky Martin,6503,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46,1/1/2017,gt,15.6356088,-89.8988087
1,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,14352,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,1/1/2017,ch,46.7985624,8.2319736
2,Starboy,The Weeknd,14218,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,1/1/2017,ch,46.7985624,8.2319736
3,Let Me Love You,DJ Snake,13549,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,1/1/2017,ch,46.7985624,8.2319736
4,Closer,The Chainsmokers,12988,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,1/1/2017,ch,46.7985624,8.2319736
5,Say You Won't Let Go,James Arthur,11289,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,1/1/2017,ch,46.7985624,8.2319736
1,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,6263,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,1/1/2017,hu,47.1817585,19.5060937
2,Starboy,The Weeknd,5158,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,1/1/2017,hu,47.1817585,19.5060937
3,Closer,The Chainsmokers,5095,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,1/1/2017,hu,47.1817585,19.5060937
4,Let Me Love You,DJ Snake,4956,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,1/1/2017,hu,47.1817585,19.5060937
5,Don't Wanna Know,Maroon 5,3723,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,1/1/2017,hu,47.1817585,19.5060937
1,Starboy,The Weeknd,139175,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,1/1/2017,ca,61.0666922,-107.9917071
2,Closer,The Chainsmokers,128481,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,1/1/2017,ca,61.0666922,-107.9917071
3,Fake Love,Drake,118532,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd,1/1/2017,ca,61.0666922,-107.9917071
4,Bad and Boujee (feat. Lil Uzi Vert),Migos,100524,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR,1/1/2017,ca,61.0666922,-107.9917071
5,One Dance,Drake,90257,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,1/1/2017,ca,61.0666922,-107.9917071
1,Chantaje,Shakira,39602,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,1/1/2017,pe,-6.8699697,-75.0458515
2,Reggaetón Lento (Bailemos),CNCO,36580,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,1/1/2017,pe,-6.8699697,-75.0458515
3,Safari,J Balvin,34236,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO,1/1/2017,pe,-6.8699697,-75.0458515
4,Otra Vez (feat. J Balvin),Zion & Lennox,30781,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,1/1/2017,pe,-6.8699697,-75.0458515
5,La Bicicleta,Carlos Vives,29298,https://open.spotify.com/track/0sXvAOmXgjR2QUqLK1MltU,1/1/2017,pe,-6.8699697,-75.0458515
1,Hey Baby,Dimitri Vegas & Like Mike,23277,https://open.spotify.com/track/6yc377A8qxHIjPUcjGD4ET,1/1/2017,be,50.6402809,4.6667145
2,Closer,The Chainsmokers,17456,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,1/1/2017,be,50.6402809,4.6667145
3,Starboy,The Weeknd,17374,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,1/1/2017,be,50.6402809,4.6667145
4,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,16763,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,1/1/2017,be,50.6402809,4.6667145
5,What Is Love 2016,Lost Frequencies,16197,https://open.spotify.com/track/5hIR7SX1fSrr5evIAPDY5o,1/1/2017,be,50.6402809,4.6667145
1,Closer,The Chainsmokers,27062,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,1/1/2017,my,39.7837304,-100.4458825
2,Say You Won't Let Go,James Arthur,26577,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,1/1/2017,my,39.7837304,-100.4458825
3,Starboy,The Weeknd,24878,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,1/1/2017,my,39.7837304,-100.4458825
